Turf Name,Games Available,Latitude,Longitude
DCS Turf & Cafe,Cricket,26.8977952,80.9971416
DCS Turf & Cafe,Football,26.8977952,80.9971416
Athletes Sports Arena,Cricket,26.909851,80.9462165
Athletes Sports Arena,Football,26.909851,80.9462165
Wolf Arena,Cricket,26.8730875,80.879351
Wolf Arena,Football,26.8730875,80.879351
TOSS SPORTIFY SPORTS COMPLEX,Cricket,26.92728039,80.89202309
TOSS SPORTIFY SPORTS COMPLEX,Football,26.92728039,80.89202309
TOSS SPORTIFY SPORTS COMPLEX,Basketball,26.92728039,80.89202309
SPORTS SQUARE,Cricket,26.87160855,80.85209846
SPORTS SQUARE,Football,26.87160855,80.85209846
RDSO Badminton Academy,Badminton,26.81554332,80.89237685
